<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US.BAC,0,12/12/16,09:57:02,23.090000000,282
US.BAC,0,12/12/16,09:57:03,23.090000000,100
US.BAC,0,12/12/16,09:57:03,23.090000000,100
US.BAC,0,12/12/16,09:57:16,23.090000000,200
US.BAC,0,12/12/16,09:57:16,23.090000000,100
US.BAC,0,12/12/16,09:57:17,23.085000000,200
US.BAC,0,12/12/16,09:57:17,23.085000000,200
US.BAC,0,12/12/16,09:57:17,23.085000000,200
US.BAC,0,12/12/16,09:57:17,23.085000000,200
US.BAC,0,12/12/16,09:57:17,23.085000000,200
US.BAC,0,12/12/16,09:57:17,23.085000000,200
US.BAC,0,12/12/16,09:57:17,23.085000000,200
US.BAC,0,12/12/16,09:57:17,23.085000000,200
US.BAC,0,12/12/16,09:57:18,23.080000000,400
US.BAC,0,12/12/16,09:57:18,23.080000000,400
US.BAC,0,12/12/16,09:57:18,23.080000000,100
US.BAC,0,12/12/16,09:57:18,23.080000000,300
US.BAC,0,12/12/16,09:57:18,23.080000000,200
US.BAC,0,12/12/16,09:57:18,23.080000000,300
US.BAC,0,12/12/16,09:57:19,23.090000000,300
US.BAC,0,12/12/16,09:57:19,23.090000000,400
US.BAC,0,12/12/16,09:57:19,23.090000000,400
US.BAC,0,12/12/16,09:57:19,23.090000000,200
US.BAC,0,12/12/16,09:57:19,23.090000000,100
US.BAC,0,12/12/16,09:57:23,23.095000000,200
US.BAC,0,12/12/16,09:57:23,23.095000000,200
US.BAC,0,12/12/16,09:57:24,23.095000000,200
US.BAC,0,12/12/16,09:57:24,23.095000000,159
US.BAC,0,12/12/16,09:57:28,23.100000000,300
US.BAC,0,12/12/16,09:57:28,23.100000000,100
US.BAC,0,12/12/16,09:57:42,23.100000000,100
